SL No.,CODE,Owner,CC,Clinic Type,S Type,Combo Store,Interior Format,Located,Region,Distrt,Metro /Non-Metro,State,RBM,AM,Contact No,Email ID,City,Location,Opening Date,Store Convt,EMAIL ID2,Ph No.,Store Manager,Address,Pincode,Franchisee Name,Mobile no,Store Name / Firm Name,Franchisee E Mail ID,Carpet Area,Retail Area,Rent,Signage,SUR Code,Pincode2
1,TKOR,Co,6900,BL,Hstreet,Regular,Blue,G Floor,South 2,Bangalore,Metro  ,Karnataka,Mayank,Niharika,9743066142,kalyani@titan.co.in,Bangalore,Koramanagala,4/29/2007,,tkor@titan.co.in,25501846 / 51 ,Harish Kumar ,"Titan Eye+, No - 1, 100.FT Road, 17th Main 4th Block, OPP- Canara Bank,Koramangala,Bangalore- 560 095",560 095,Company store ,Company store ,Titan Eye Plus,Company Store,1750,,4.7,New,Sount 2,560095
2,TBJA,Co,6903,BL,N,WOT,Blue,G Floor,South 2,Bangalore,Metro  ,Karnataka,Mayank,Karthik,9632569888,karthikmg@titan.co.in,Bangalore,Jayanagar (4th Block),4/29/2007,,tbja@titan.co.in,080-41219375,Usha,"Titan Eye+,No.39, Gopala krishna Arcad, 11th Main road, 4th Block, Jayanagar- East, Bangalore- 560 011,","60 011,",Company store ,Company store ,Titan Eye Plus,Company Store,1303,,2.5,New,Sount 2,560011
570,ISPS,Fr,5023,N,N,Regular,,,South 2,Bangalore,Metro,Karnataka,Mayank,Karthik,9632569888,karthikmg@titan.co.in,Bangalore,Park Square Mall,11/23/2019,,isps@titan.co.in,,,"Titan Eye Plus, Gf, Ascendas Park Square Mall,40, ITPB Main Road,Whitefield, Bangalore-560066",-560066, Pooja Sukhija,9901873173,Ahaan Ventures,poojakapadia86@gmail.com,900,700,,New,Sount 2,560066
4,TIND,Co,6902,BL,Hstreet,WOT,Blue,G Floor,South 2,Bangalore,Metro  ,Karnataka,Mayank,Shravan,9742560025,shravan@titan.co.in,Bangalore,Indiranagar,6/16/2007,,tind@titan.co.in,080-25212737 / 25213727 ,Prasad M,"Titan Eye+, No.777E PID No.72-1-777/E, HAL 2nd Stage, 100 Ft. Road, Indiranagar, Bangalore - 560038", 560038,Company store ,Company store ,Titan Eye Plus,Company Store,2525,,1.8,Old,Sount 2,560038
555,ISKU,Fr,5014,N,N,Regular,,,South 2,Bangalore,Metro,Karnataka,Mayank,Karthik,9743066142,kalyani@titan.co.in,Bangalore,"ACES Layout, Kundanhalli",9/5/2019,,isku@titan.co.in," 8095588808,",pavithra md,"Titan Eye plus 578,G/F,60ft Road, C Block,AECS layout, Kundanahalli, Bangalore, Karnataka-560037",-560037,S Madhusudhana Rao and Pavithra M D,9849188808,Maa Eminence Enterprises,msrao888@gmail.com,874,586,,New,Sount 2,560037
541,TBKO,Co,7912,N,N,Regular,,,South 2,Bangalore,Metro,Karnataka,Mayank,Niharika,9743066142,kalyani@titan.co.in,Bangalore,Koramangala 3,5/31/2019,,tbko@titan.co.in,9739087470,Prashant,"# 3, GF,AVS compound,80Ft Perepheral road, 4th Block, Koramangala,Bangalore-560034",-560034,Company store ,Company store ,Titan Eye Plus,Company Store,1249,638,,New,Sount 2,560034
535,TBEO,Co,8990,N,N,WOT,Blue,,South 2,Bangalore,Metro,Karnataka,Mayank,Shravan,9743066142,kalyani@titan.co.in,Bangalore,Neeladri Road,5/17/2019,,tbeo@titan.co.in,9986001339,kamal ,"Sy. No.156, Doddathoguru Village, Neeladri Road, Begur Hobli, Bengaluru South Taluk, Bengaluru - 560100", 560100,Company store ,Company store ,Titan Eye Plus,Company Store,734,,,New,Sount 2,560100
523,TBCI,MA,7911,N,N,Regular,Blue,,South 2,Bangalore,Metro,Karnataka,Mayank,Karthik,9632569888,karthikmg@titan.co.in,Bangalore,CBI Road,3/30/2019,,tbci@titan.co.in,8123902142,Chaithra DS,"196 A, 3rd main, CBI Road Ganganagar Bangalore-560032",-560032,S.H.Ganesh, 96119 99466,Srish Enterprises,srish2003@gmail.com,423,297,,New,Sount 2,560032
9,TBVN,Fr,6907,DL,Hstreet,Regular,Blue,G Floor,South 2,Bangalore,Metro  ,Karnataka,Mayank,Shravan,9742560025,shravan@titan.co.in,Bangalore,Vijayanagar,3/27/2008,,tbvn@titan.co.in,080 - 41722181,Ram,"Titan Eye+,#826/70, 4th Main RD,Vijaya nagar,nxt to Sagar Fast Food, Bangalore- 560 040, PH:080-41722181/ 41140448, ","40448, ",Kamlesh Kumar,9886822177,Trendz Eye Care,eyeplus@rediffmail.com,1020,,0.3,New,Sount 2,560040
522,TBJI,MA,7907,N,N,Regular,Blue,,South 2,Bangalore,Metro,Karnataka,Mayank,Shravan,9742560025,shravan@titan.co.in,Bangalore,Jalahalli,3/30/2019,,tbji@titan.co.in,7676977736, Meghana,"# 13, Officers Model colony, SM Road,Opp Relicance fresh,T Dasarahalli,Bangalore-560057",-560057,A K Shabeer,8123455200, ,Shabeer_kollam@yahoo.co.in,530,390,,New,Sount 2,560057
